name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary;average_salary
Lead Data Engineer;N-iX;Expert;['Data', 'GCP', 'BigQuery', 'Microservices architecture', 'Python', 'Docker', 'SQL', 'Airflow', 'Angielski (B2)'];['Kubernetes', 'TypeScript', 'NestJS'];Praca zdalna;data engineer;25436.0;31088.0;PLN;;28262.0
Data Engineer;hubQuest;Mid;['Data', 'Python', 'PySpark', 'Azure', 'SQL', 'Databricks', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'dbt'];Praca zdalna;data engineer;25000.0;30000.0;PLN;;27500.0
Master Data Management Engineer;Devire Sp. z o.o.;Senior;['Data', 'Data management', 'Informatica', 'MDM', 'Informatica PowerCenter', 'ETL', 'SQL', 'Relational database', 'Communication skills', 'Degree', 'Angielski (B2)', 'Polski'];Brak;Praca zdalna;data engineer;25200.0;30240.0;PLN;;27720.0
Data Platform Engineer/Consultant - Team Leader;Elitmind;Mid;['Data', 'SQL Server', 'SSIS', 'ETL', 'Data warehouse', 'Team management', 'SQL', 'Angielski (B2)'];['Python', 'Snowflake', 'Databricks', 'Azure'];Praca zdalna;data engineer;17976.0;24024.0;PLN;;21000.0
Data Engineer;SquareOne;Mid;['Data', 'Python', 'Google Cloud Platform', 'SQL', 'ETL', 'Apache Airflow', 'AWS', 'Azure', 'Flask', 'Snowflake', 'Angielski (B2)', 'Polski (B2)'];['Jenkins', 'Kubernetes', 'Docker', 'Google Data Studio', 'Grafana'];Praca zdalna;data engineer;19000.0;25000.0;PLN;;22000.0
Data Engineer;ITDS;Senior;['Data', 'Python', 'Scala', 'Unix', 'Linux', 'Hadoop', 'Apache Hadoop', 'Spark', 'Yarn', 'Hive', 'SQL', 'Elasticsearch', 'Git', 'GitHub', 'Ansible', 'Jenkins', 'Shell', 'Data modeling', 'SDLC', 'Angielski'];['Cloud', 'Design Patterns', 'Communication skills', 'REST API', 'Java', 'Spring Boot'];Kraków;data engineer;19300.0;26040.0;PLN;;22670.0
Data Curator for AI (Data Engineer);Intergraph Polska Sp. z o.o.;Senior;['AI', 'Data analysis', 'Angielski (B2)'];['Phyton', 'Cloud', 'Machine Learning'];Łódź;data engineer;;;;Brak widełki;
Remote Senior Data Engineer;Varwise;Senior;['Data', 'Spark', 'AWS', 'Linux', 'NoSQL', 'SQL', 'Kafka', 'Java', 'Scala', 'AWS Lambda', 'Glue', 'Athena', 'Cassandra', 'Neo4j', 'Databricks', 'PySpark', 'Angielski (C2)'];['Kinesis', 'Airflow', 'Jenkins', 'Datadog', 'Python', 'TensorFlow'];Praca zdalna;data engineer;30281.0;40375.0;PLN;;35328.0
Senior Data Engineer;Capgemini Polska Sp. z o.o.;Senior;['Data', 'Data mining', 'Data analysis', 'SQL', 'PostgreSQL', 'MySQL', 'Python', 'NumPy', 'scikit-learn', 'pandas', 'Functional programming', 'Big data', 'Spark', 'Hadoop', 'Databricks', 'Snowflake', 'Airflow', 'Communication skills', 'Angielski'];['Data visualization', 'Kibana', 'Grafana'];['Warszawa', 'Katowice', 'Opole', 'Poznań', 'Lublin', 'Gdańsk', 'Wrocław'];data engineer;;;;Brak widełki;
Senior Big Data Engineer (Python);Capgemini Polska Sp. z o.o.;Senior;['Data', 'Python', 'SQL', 'ETL', 'AWS', 'DBMS platforms', 'Angielski'];Brak;['Warszawa', 'Katowice', 'Opole', 'Kraków', 'Poznań', 'Lublin', 'Gdańsk', 'Wrocław'];data engineer;;;;Brak widełki;
