name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary
BI Data Analyst - Remote;Link Group;Mid;['Business Intelligence', 'Tableau', 'ETL', 'SQL', 'Snowflake', 'Redshift', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;10080;11760;PLN;
Senior Product Data Analyst (Maternity Cover);Beekeeper AG;Senior;['Data', 'SQL', 'R', 'Python', 'Tableau', 'Looker', 'Shiny', 'Angielski'];['Pendo', 'Mixpanel'];Kraków;data analyst;21000;27500;PLN;
Data analyst;Uncapped;Mid;['Data', 'SQL', 'Problem solving', 'Critical thinking', 'Communication skills', 'Angielski (B2)', 'Polski'];['Python', 'BigQuery', 'Proactivity', 'GCP'];Warszawa;data analyst;10000;16000;PLN;
Data Analyst CRM;Connectis_;Junior;['Data', 'CRM', 'Python', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data analyst;17000;21000;PLN;
Customer Master Data Senior Analyst;Devire Sp. z o.o.;Senior;['Data', 'T-SQL', 'SAP', 'Excel', 'Communication skills', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;25200;33600;PLN;
Senior Data Analyst;Brainly Sp. z o.o.;Senior;['Data', 'SQL', 'Google Analytics', 'Tableau', 'BigQuery', 'A/B Testing', 'Angielski'];['Python', 'Google Tag Manager', 'Amplitude', 'Snowflake'];Praca zdalna;data analyst;17000;23000;PLN;
Traffic Data Analyst;RTB House;Mid;['Backend', 'SQL', 'Google Data Studio', 'Node.js', 'Python', 'Git', 'Linux', 'BigQuery', 'Angielski'];['Google Analytics', 'Jupyter Notebook', 'Elasticsearch', 'Kibana', 'Jenkins', 'PostgreSQL', 'TypeScript', 'HTTP'];Praca zdalna;data analyst;10000;15000;PLN;
Data Analyst;SymphonyAI;Mid;['Data', 'Python', 'SQL', 'ETL', 'Angielski (B2)'];['Dask', 'Polars'];Poznań;data analyst;;;;Brak widełki
Regular Product Owner/Busines Analyst;Unravel;Mid;['Business Analysis', 'BSc', 'MSc', 'Degree', 'Angielski'];Brak;Praca zdalna;data analyst;14280;18480;PLN;
Senior Expert - Management Reporting & Analytics;HSBC Technology Poland;Senior;['Finanse', 'Accounting', 'Management Reporting', 'Reporting', 'Audit', 'Analytical skills', 'Excel', 'PowerPoint', 'Angielski (C1)'];['CIMA', 'ACCA'];Kraków;data analyst;;;;Brak widełki
Młodszy Analityk Danych / Controller;P.H. Smorawiński sp.z o.o.;Junior;['Data', 'Zaangażowanie', 'MS Excel', 'Power Query/Power BI', 'Samodzielność', 'Odpowiedzialność', 'Polski'];Brak;Poznań;data analyst;5500;6500;PLN;
Analityk baz danych Oracle;in4ge sp. z o.o.;Junior;['Business Intelligence', 'Oracle', 'SQL', 'Oracle Business Intelligence', 'BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data analyst;;;;Brak widełki
Junior Oracle Business Analyst;in4ge sp. z o.o.;Junior;['Business Analysis', 'Oracle', 'Oracle Business Intelligence', 'SQL', 'Polski', 'Angielski'];Brak;Praca zdalna;data analyst;;;;Brak widełki
Middle Data Scientist;Godel Technologies Europe;Mid;['Data', 'Data science', 'Deep learning', 'Natural language processing', 'Python', 'scikit-learn', 'Keras', 'Machine learning', 'SQL', 'Angielski (B1)'];['MLOps', 'Cloud platform'];['Łódź', 'Białystok', 'Gdańsk', 'Warszawa', 'Wrocław'];data scientist;16000;23000;PLN;
Senior Data Scientist;Link Group;Senior;['Data', 'Python', 'Data science', 'Machine learning', 'SQL', 'Git', 'Docker', 'Java', 'C', 'C++', 'Scala', 'Angielski (C1)'];['Hadoop'];Warszawa;data scientist;20160;23520;PLN;
Data Scientist;Connectis_;Mid;['Data', 'Python', '4GL', 'SQL', 'Machine learning', 'Polski (NATIVE)'];['MLOps'];Warszawa;data scientist;18000;23000;PLN;
Data Scientist;Connectis_;Mid;['Data', 'Python', 'R', 'SQL', 'Git', 'Machine learning', 'Angielski (B2)'];['MLOps', 'Azure Databricks'];Praca zdalna;data scientist;18000;22000;PLN;
Data Scientist (Forecasting);Lingaro;Mid;['Data', 'Python', 'SQL', 'Azure', 'Data engineering', 'Machine learning', 'Kanban', 'Communication skills', 'Angielski (C1)'];['PySpark', 'Spark', 'OOP', 'AI', 'AWS'];Praca zdalna;data scientist;16800;23520;PLN;
Data Scientist;Lingaro;Senior;['Data', 'Python', 'Optimalization', 'Azure', 'Angielski (B2)'];['SQL', 'Team management'];Praca zdalna;data scientist;21840;25200;PLN;
Lead/Senior Data Scientist (NLP);Sigmoidal;Senior;['Data', 'AI', 'Python', 'Machine learning', 'Data science', 'AWS', 'NLP', 'Angielski (B2)', 'Polski (B2)'];Brak;Praca zdalna;data scientist;25000;35000;PLN;
Senior Data Scientist;Devire;Senior;['Data', 'Data modelling', 'Use cases', 'Python', 'Azure', 'Communication skills', 'Power BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;;;;Brak widełki
Data Scientist (Marketing Mix Modeling);Lingaro;Senior;['Data', 'Python', 'Machnine Learning', 'SQL', 'Machine learning', 'Requirements gathering', 'Angielski (C1)'];['Scala', 'Big Data', 'Forecasting'];Praca zdalna;data scientist;15120;25200;PLN;
Senior Data Scientist z Data Analytics;eConsulting;Mid;['Data', 'Python', 'AWS', 'R', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data scientist;;;;Brak widełki
Senior Data Scientist (NLP and LLMs);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'transformers', 'AWS', 'Angielski'];['LLMs'];Praca zdalna;data scientist;26000;35000;PLN;
Senior Data Scientist;hubQuest;Senior;['AI', 'Python', 'Machine Learning', 'Data science', 'Statistics', 'scikit-learn', 'pandas', 'Matplotlib', 'SciPy', 'Angielski (C1)'];['Docker', 'Kubernetes', 'Azure'];Praca zdalna;data scientist;28500;37000;PLN;
Data Scientist;Shelf;Senior;['Data', 'AI', 'Data analytics', 'NLP', 'Python', 'SQL', 'NoSQL', 'TensorFlow', 'PyTorch', 'PhD', 'Machine learning', 'Machine Learning', 'GitHub', 'Angielski (B2)'];['Degree', 'Amazon ML Services', 'autonomous agents development'];Praca zdalna;data scientist;24192;32256;PLN;
Data Scientist (DS/Operations Research Experience);Lingaro;Mid;['Data', 'Python', 'SQL', 'Azure', 'Angielski (C1)'];['GCP', 'Machine learning', 'Kanban', 'Requirements gathering', 'Communication skills', 'Spark', 'PySpark', 'AI'];Praca zdalna;data scientist;16800;23520;PLN;
Data Science;SquareOne;Mid;['Data', 'Python', 'OpenAI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;16800;21840;PLN;
Data Engineer;7N;Senior;['Data', 'Python', 'SQL', 'Power BI', 'CA', 'Angielski'];['CI/CD', 'Kubernetes', 'GCP', 'Airflow', 'Workato', 'dbt', 'Snowflake', 'Fivetran'];Warszawa;data engineer;26880;33600;PLN;
Remote Data Engineer;Kingfisher plc.;Mid;['Data', 'Python', 'AWS', 'Angielski (B2)', 'Polski'];['Data modelling', 'Storage', 'Azure Cloud'];Praca zdalna;data engineer;15000;19000;PLN;
Senior Data Engineer (Finance Team);Falck Digital Technology Poland Sp. z o.o.;Senior;['Data', 'SQL', 'Azure', 'Python', 'PySpark', 'Databricks', 'DevOps', 'Git', 'Continuous integration', 'CAN', 'Angielski'];Brak;Warsaw;data engineer;20000;25000;PLN;
Contractor Big Data Engineer;OpenNet.pl Sp. z o.o.;Senior;['Data', 'Scala', 'Python', 'Java', 'Spark', 'Apache Beam', 'GCP', 'Azure', 'AWS', 'TDD', 'CI/CD', 'Unix', 'Linux', 'Angielski (B2)'];Brak;['Warszawa', 'Kraków'];data engineer;14200;25410;PLN;
Data Engineer - Data Science Hub;Allegro;Mid;['Data', 'SQL', 'Python', 'DevOps', 'CI/CD', 'REST API', 'Angielski (B2)', 'Polski (B2)'];['GitHub', 'Apache Airflow', 'Communication skills', 'Spark', 'Google cloud platform', 'Keboola'];Warszawa;data engineer;14200;19690;PLN;
Data Engineer;Remitly Poland sp. z o.o.;Mid;['Data', 'Storage', 'Version control system', 'RDBMS', 'Angielski', 'Polski'];['Kubernetes', 'Docker'];Kraków;data engineer;20000;28000;PLN;
Data Engineer;ITDS;Senior;['Data', 'Python', 'Scala', 'Unix', 'Linux', 'Hadoop', 'Apache Hadoop', 'Spark', 'Yarn', 'Hive', 'SQL', 'Elasticsearch', 'Git', 'GitHub', 'Ansible', 'Jenkins', 'Shell', 'Data modeling', 'SDLC', 'Angielski'];['Cloud', 'Design Patterns', 'Communication skills', 'REST API', 'Java', 'Spring Boot'];Kraków;data engineer;19300;26040;PLN;
Senior Data Engineer;Globallogic;Senior;['Data', 'Python', 'Java', 'Scala', 'SQL', 'Terraform', 'AWS', 'Git', 'Docker', 'Airflow', 'Kubernetes', 'Angielski'];['Data build tool', 'Databricks'];Praca zdalna;data engineer;;;;Brak widełki
Big Data Engineer IV;OpenX;Senior;['Backend', 'Scala', 'Cloud', 'Kubernetes', 'Java', 'Polski', 'Angielski'];['Docker', 'Spark', 'Jenkins', 'Hadoop', 'Data engineering', 'Python'];Praca zdalna;data engineer;30240;34944;PLN;
Azure Data Engineer;C&F S.A.;Mid;['DevOps', 'Azure', 'DevOps', 'Git', 'Azure DevOps', 'Python', 'SQL', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'ARM'];Praca zdalna;data engineer;;;;Brak widełki
Remote Senior Data Engineer;Varwise;Senior;['Data', 'Spark', 'AWS', 'Linux', 'NoSQL', 'SQL', 'Kafka', 'Java', 'Scala', 'AWS Lambda', 'Glue', 'Athena', 'Cassandra', 'Neo4j', 'Databricks', 'PySpark', 'Angielski (C2)'];['Kinesis', 'Airflow', 'Jenkins', 'Datadog', 'Python', 'TensorFlow'];Praca zdalna;data engineer;30240;40320;PLN;
Principal Data Engineer;Digital Hub Warsaw at Bayer;Senior;['Data', 'Golang', 'Kafka', 'REST API', 'Cloud', 'CI/CD', 'Git', 'Kubernetes', 'SQL', 'NoSQL', 'Angielski (NATIVE)'];['Terraform', 'Machine learning', 'Python'];Warsaw;data engineer;32000;42000;PLN;
Data Engineer;Prime Engineering;Mid;['Data', 'Hadoop', 'Python', 'PySpark', 'Git', 'GitLab', 'Angielski'];Brak;Warszawa;data engineer;21000;25200;PLN;
Professional Data Engineer;AVENGA;Mid;['Data', 'Snowflake', 'ETL', 'Python', 'SQL', 'ServiceNow', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;130;145;PLN;
